127.0.0.1, 2015-09-18 18:58:15, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/default/index, HTTP/1.1, 200, 4.396000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-18 18:58:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-18 18:58:22, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-18 18:58:22, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-18 18:58:26, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-18 18:58:26, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-18 18:58:26, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
192.168.0.4, 2015-09-18 18:58:27, GET, /oauth/api/buildUrlToInitiateAuthorization, HTTP/1.1, 200, 0.335000
127.0.0.1, 2015-09-18 18:58:27, GET, /oauth, HTTP/1.1, 200, 7.701000
127.0.0.1, 2015-09-18 18:58:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-18 18:58:28, GET, /oauth/static/css/web2py.css, HTTP/1.1, 200, 0.380000
127.0.0.1, 2015-09-18 18:58:28, GET, /oauth/static/css/calendar.css, HTTP/1.1, 200, 0.382000
127.0.0.1, 2015-09-18 18:58:28, GET, /oauth/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.075000
127.0.0.1, 2015-09-18 18:58:28, GET, /oauth/static/js/web2py.js, HTTP/1.1, 200, 0.476000
127.0.0.1, 2015-09-18 18:58:28, GET, /oauth/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.479000
127.0.0.1, 2015-09-18 18:58:28, GET, /oauth/static/js/jquery.js, HTTP/1.1, 200, 0.476000
127.0.0.1, 2015-09-18 18:58:28, GET, /oauth/static/js/calendar.js, HTTP/1.1, 200, 0.504000
127.0.0.1, 2015-09-18 18:58:28, GET, /oauth/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.316000
127.0.0.1, 2015-09-18 18:58:28, GET, /oauth/static/js/index.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-09-18 18:58:29, GET, /oauth/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.143000
127.0.0.1, 2015-09-18 18:58:29, GET, /oauth/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.164000
127.0.0.1, 2015-09-18 18:58:29, GET, /oauth/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.223000
192.168.0.4, 2015-09-18 18:58:44, GET, /oauth/api/postToTokenEndpointAuthorizationCode, HTTP/1.1, 200, 1.413000
127.0.0.1, 2015-09-18 18:58:44, GET, /oauth, HTTP/1.1, 303, 1.524000
192.168.0.4, 2015-09-18 18:58:44, GET, /oauth/api/getConfigValue, HTTP/1.1, 200, 0.021000
192.168.0.4, 2015-09-18 18:58:45, POST, /oauth/api/sendGetToUrl, HTTP/1.1, 200, 0.415000
192.168.0.4, 2015-09-18 18:58:45, POST, /oauth/api/sendGetToUrl, HTTP/1.1, 200, 0.557000
127.0.0.1, 2015-09-18 18:58:46, GET, /oauth/spotify/index, HTTP/1.1, 200, 1.501000
127.0.0.1, 2015-09-19 13:13:31, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.619000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.030000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.030000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.048000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.052000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.028000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.026000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.049000
127.0.0.1, 2015-09-19 13:13:32, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.097000
